机场三字码,机场名称,机场英文名,机场简称,城市名称
LHE,拉合尔机场,ALLAMA IQBAL,拉合尔,拉合尔
HKD,函馆机场,HAKODATE,函馆,函馆
JED,吉达机场,KING ABDULAZIZ,吉达,吉达
DHA,宰赫兰机场,DHAHRAN METROPOLITAN,宰赫兰,宰赫兰
DUB,都柏林机场,DUBLIN,都柏林,都柏林
GOT,哥德堡机场,LANDVETTER,哥德堡,哥德堡
GRZ,格拉兹机场,THALERHOF,格拉兹,格拉茨
BSL,巴塞尔机场,EURO SWISS,巴塞尔,巴塞尔
BUE,布宜诺斯艾利斯机场,METROPOLITAN AREA,艾利斯,布宜诺斯艾利斯
AEP,乔治纽博利机场,JORGE NEWBERY AIRPOR,乔治纽博利,布宜诺斯艾利斯
EZE,米尼斯特罗皮斯塔里尼,MINISTRO PISTARINI,米尼斯特罗皮斯塔里,布宜诺斯艾利斯
CAS,卡萨布兰卡机场,ANFA,卡萨布兰卡,卡萨布兰卡
CMN,穆罕默德机场,MOHAMED V,穆罕默德,卡萨布兰卡
CMB,科伦坡国际机场,BANDARANAYAKE,科隆坡,科伦坡
CBM,科伦坡机场,COLUMBUS AIR FORCE B,科伦坡,科伦坡
CCS,加拉加斯机场,SIMON BOLIVAR,加拉加斯,加拉加斯
CUN,坎昆机场,CANCUN,坎昆,坎昆
CUZ,库斯科机场,VELAZCO ASTETE,库斯科,库斯科
DAR,达累斯萨拉姆机场,DAR ES SALAAM,斯萨拉姆,达累斯萨拉姆
LNZ,林茨机场,HOERSCHING,林茨,林茨
LUN,卢萨卡机场,LUSAKA,卢萨卡,卢萨卡
LYP,费萨拉巴德机场,FAISALABAD,费萨拉巴德,费萨拉巴德
MBA,蒙巴萨Moiintl机场,MOI,蒙巴萨莫伊,蒙巴萨
ASU,亚松森机场,SILVIO PETTIROSSI,亚松森,亚松森
BEN,班加西Benina机场,BENINA,班加西,班加西
BGO,卑尔根Flesland机场,FLESLAND,卑尔根,卑尔根
BGW,巴格达机场,AL MUTHANA,巴格达,巴格达
BOG,波哥大Eldorado机场,ELDORADO,波哥大,波哥大
NBO,内罗毕机场,JOMO KENYATTA,内罗毕,内罗毕
OPO,波尔图机场,PORTO,波尔图,波尔图
OSL,奥斯陆机场,OSLO AIRPORT,奥斯陆,奥斯陆
PAP,太子港机场,MAIS GATE,太子港,太子港
PEW,白沙瓦机场,PESHAWAR,白沙瓦,白沙瓦
PTY,巴拿马城Tocumen机场,TOCUMEN,巴拿马城,巴拿马城
KEF,雷克雅未克国际机场,KEFLAVIK,雷克雅未克,雷克亚未克
ORK,科克机场,CORK,科克,科克
BRN,伯尔尼机场,BELP,伯尔尼,伯尔尼
BEY,贝鲁特国际机场,BEIRUT,贝鲁特,贝鲁特
LIM,利马国际机场,J CHAVEZ,利马,利马
BRS,布里斯托尔机场,BRISTOL,布里斯托尔,布里斯托尔
DAM,大马士革国际机场,DAMASCUS,大马士革,大马士革
FAO,法鲁机场,FARO,法鲁,法鲁
GUA,危地巴拉城机场,LA AURORA,危地巴拉城,危地马拉城
LAD,罗安达机场,4 DE FEVEREIRO,罗安达,罗安达
WLG,惠灵顿国际机场,WELLINGTON,惠灵顿,惠灵顿
MDK,姆班达卡机场,MBANDAKA,姆班达卡,姆班达卡
FIH,金沙萨机场,N'DJILI,金沙萨,金沙萨
FKI,基桑加尼机场,KISANGANI,基桑加尼,基桑加尼
JIB,安伯里机场,AMBOULI AIRPORT,安伯里,吉布提
HRE,哈拉雷机场,HARARE,哈拉雷,哈拉雷
SAH,萨那机场,SANA'A,萨那,萨那
SCL,阿图罗梅里诺博尼特兹,ARTURO MERINO BENITE,圣地亚哥,圣地亚哥
MCT,马斯卡特机场,SEEB,马斯卡特,马斯喀特
MSQ,明斯克机场,MINSK  2,明斯克,明斯克
DKR,约夫机场,YOFF,,达喀尔
GBE,塞雷策卡马爵士国际机,SIR SERETSE KHAMA,塞雷策卡马爵士,哈博罗内
UIO,马里斯卡尔苏克雷机场,MARISCAL SUCRE,马里斯卡尔苏克雷,基多
